Grade Distribution By Course,,,
_,,,
_,,,
College of Agricultural Sci,,,
Agricultural Education,,,
_,,,
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 3.75
_,,,
Course: RNG 352  Student Total: 19  Credit Hours: 3  Grade Pts: 167.7  GPA Hours: 48  GPA: 3.49,,,
Grade: A,  Credits: 3,  Student Count: 11,  Pct: 57.89
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: I/F,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 10.53
_,,,
Course: RNG 442  Student Total: 23  Credit Hours: 4  Grade Pts: 265.2  GPA Hours: 88  GPA: 3.01,,,
Grade: A,  Credits: 4,  Student Count: 2,  Pct: 8.7
Grade: A-,  Credits: 4,  Student Count: 8,  Pct: 34.78
Grade: B,  Credits: 4,  Student Count: 5,  Pct: 21.74
Grade: B+,  Credits: 4,  Student Count: 2,  Pct: 8.7
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 8.7
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 4.35
Grade: F,  Credits: 4,  Student Count: 2,  Pct: 8.7
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 4.35
_,,,
Course: RNG 455  Student Total: 23  Credit Hours: 4  Grade Pts: 256.4  GPA Hours: 92  GPA: 2.79,,,
Grade: A,  Credits: 4,  Student Count: 9,  Pct: 39.13
Grade: A-,  Credits: 4,  Student Count: 2,  Pct: 8.7
Grade: B,  Credits: 4,  Student Count: 2,  Pct: 8.7
Grade: B+,  Credits: 4,  Student Count: 2,  Pct: 8.7
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 8.7
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 4.35
Grade: D-,  Credits: 4,  Student Count: 1,  Pct: 4.35
Grade: F,  Credits: 4,  Student Count: 4,  Pct: 17.39
_,,,
Course: RNG 491  Student Total: 16  Credit Hours: 4  Grade Pts: 180  GPA Hours: 56  GPA: 3.21,,,
Grade: A-,  Credits: 4,  Student Count: 5,  Pct: 31.25
Grade: B,  Credits: 4,  Student Count: 2,  Pct: 12.5
Grade: B+,  Credits: 4,  Student Count: 4,  Pct: 25
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 6.25
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 12.5
Grade: W,  Credits: 4,  Student Count: 2,  Pct: 12.5
_,,,
Course: RNG 555  Student Total: 10  Credit Hours: 4  Grade Pts: 140  GPA Hours: 40  GPA: 3.5,,,
,,,
,,,
,,,
,,,
_,,,
College of Agricultural Sci,,,
Applied Economics,,,
_,,,
Course: AEC 211  Student Total: 92  Credit Hours: 4  Grade Pts: 1160  GPA Hours: 356  GPA: 3.26,,,
Grade: A,  Credits: 4,  Student Count: 39,  Pct: 42.39
Grade: A-,  Credits: 4,  Student Count: 7,  Pct: 7.61
Grade: B,  Credits: 4,  Student Count: 23,  Pct: 25
Grade: B+,  Credits: 4,  Student Count: 5,  Pct: 5.43
Grade: C,  Credits: 4,  Student Count: 8,  Pct: 8.7
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 2.17
Grade: D,  Credits: 4,  Student Count: 2,  Pct: 2.17
Grade: F,  Credits: 4,  Student Count: 3,  Pct: 3.26
Grade: I/F,  Credits: 4,  Student Count: 1,  Pct: 1.09
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 1.09
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 1.09
_,,,
Course: AEC 250  Student Total: 96  Credit Hours: 4  Grade Pts: 999.6  GPA Hours: 356  GPA: 2.81,,,
Grade: A,  Credits: 4,  Student Count: 9,  Pct: 9.38
Grade: A-,  Credits: 4,  Student Count: 10,  Pct: 10.42
Grade: B,  Credits: 4,  Student Count: 18,  Pct: 18.75
Grade: B+,  Credits: 4,  Student Count: 19,  Pct: 19.79
Grade: B-,  Credits: 4,  Student Count: 11,  Pct: 11.46
Grade: C,  Credits: 4,  Student Count: 7,  Pct: 7.29
Grade: C+,  Credits: 4,  Student Count: 4,  Pct: 4.17
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 1.04
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 1.04
Grade: D+,  Credits: 4,  Student Count: 3,  Pct: 3.13
Grade: D-,  Credits: 4,  Student Count: 1,  Pct: 1.04
Grade: F,  Credits: 4,  Student Count: 5,  Pct: 5.21
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 1.04
Grade: W,  Credits: 4,  Student Count: 6,  Pct: 6.25
_,,,
Course: AEC 252  Student Total: 33  Credit Hours: 4  Grade Pts: 349.6  GPA Hours: 112  GPA: 3.12,,,
Grade: A,  Credits: 4,  Student Count: 8,  Pct: 24.24
Grade: A-,  Credits: 4,  Student Count: 4,  Pct: 12.12
Grade: B,  Credits: 4,  Student Count: 6,  Pct: 18.18
Grade: B+,  Credits: 4,  Student Count: 1,  Pct: 3.03
Grade: B-,  Credits: 4,  Student Count: 3,  Pct: 9.09
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 3.03
Grade: C+,  Credits: 4,  Student Count: 4,  Pct: 12.12
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 3.03
Grade: S,  Credits: 4,  Student Count: 4,  Pct: 12.12
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 3.03
_,,,
Course: AEC 253  Student Total: 70  Credit Hours: 4  Grade Pts: 992.8  GPA Hours: 272  GPA: 3.65,,,
Grade: A,  Credits: 4,  Student Count: 46,  Pct: 65.71
Grade: A-,  Credits: 4,  Student Count: 4,  Pct: 5.71
Grade: B,  Credits: 4,  Student Count: 5,  Pct: 7.14
Grade: B+,  Credits: 4,  Student Count: 5,  Pct: 7.14
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 1.43
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 1.43
Grade: C+,  Credits: 4,  Student Count: 5,  Pct: 7.14
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 1.43
Grade: W,  Credits: 4,  Student Count: 2,  Pct: 2.86
_,,,
Course: AEC 311  Student Total: 37  Credit Hours: 4  Grade Pts: 480.4  GPA Hours: 140  GPA: 3.43,,,
Grade: A,  Credits: 4,  Student Count: 12,  Pct: 32.43
Grade: A-,  Credits: 4,  Student Count: 9,  Pct: 24.32
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 8.11
Grade: B+,  Credits: 4,  Student Count: 5,  Pct: 13.51
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 5.41
Grade: C+,  Credits: 4,  Student Count: 3,  Pct: 8.11
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 2.7
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 2.7
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 2.7
_,,,
Course: AEC 351  Student Total: 54  Credit Hours: 3  Grade Pts: 450.3  GPA Hours: 138  GPA: 3.26,,,
Grade: A,  Credits: 3,  Student Count: 21,  Pct: 38.89
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 7.41
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 11.11
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 7.41
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 5.56
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 3.7
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.85
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 3.7
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1.85
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.85
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 1.85
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 1.85
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1.85
Grade: W,  Credits: 3,  Student Count: 6,  Pct: 11.11
_,,,
Course: AEC 352  Student Total: 85  Credit Hours: 3  Grade Pts: 755.4  GPA Hours: 240  GPA: 3.15,,,
Grade: A,  Credits: 3,  Student Count: 26,  Pct: 30.59
Grade: A-,  Credits: 3,  Student Count: 14,  Pct: 16.47
Grade: B,  Credits: 3,  Student Count: 11,  Pct: 12.94
Grade: B+,  Credits: 3,  Student Count: 9,  Pct: 10.59
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 3.53
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1.18
Grade: C+,  Credits: 3,  Student Count: 7,  Pct: 8.24
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 2.35
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1.18
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.18
Grade: D-,  Credits: 3,  Student Count: 2,  Pct: 2.35
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 3.53
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 2.35
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 3.53
_,,,
