Grade Distribution By Course,,,
,,,
,,,
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 9.84
Grade: B,  Credits: 3,  Student Count: 12,  Pct: 19.67
Grade: B+,  Credits: 3,  Student Count: 10,  Pct: 16.39
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 3.28
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 3.28
Grade: C+,  Credits: 3,  Student Count: 4,  Pct: 6.56
Grade: C-,  Credits: 3,  Student Count: 3,  Pct: 4.92
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 3.28
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.64
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 4.92
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 3.28
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 4.92
,,,
Course: AEC 388  Student Total: 96  Credit Hours: 4  Grade Pts: 1308.4  GPA Hours: 384  GPA: 3.41,,,
Grade: A,  Credits: 4,  Student Count: 46,  Pct: 47.92
Grade: A-,  Credits: 4,  Student Count: 13,  Pct: 13.54
Grade: B,  Credits: 4,  Student Count: 7,  Pct: 7.29
Grade: B+,  Credits: 4,  Student Count: 11,  Pct: 11.46
